frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
25,866.1,10,720,975,64.51837913564475,87.36863841285228,-0.4844767055739397,1.4534301167216654,9.689534111478793,-29.068602334433304,10,342,579,30.64623008943126,51.88352988824766,-0.4363202055165607,0.048156500057340554,-9.19536787179264,-18.884901983270666,,,,,,,,,
26,903.8,10,720,975,64.51837913564475,87.36863841285228,-0.40428213694541754,0.808564273890771,8.484410009347688,-16.968820018694025,10,342,579,30.64623008943126,51.88352988824766,-0.4935776588695717,-0.4935776588695717,-9.374694375490446,-9.374694375490446,,,,,,,,,
27,935.9,10,720,975,64.51837913564475,87.36863841285228,0.0,0.42769445974651815,0.0,-8.5882421635847,10,341,578,30.55662122952064,51.79392102833704,-0.4276944597464843,0.029698417329132348,8.588242163584018,17.46965725243094,,,,,,,,,
28,966.1,10,720,975,64.51837913564475,87.36863841285228,0.0,0.0,0.0,0.0,10,341,578,30.55662122952064,51.79392102833704,-0.4482682097477757,-0.4482682097477757,8.956407787168343,8.956407787168343,,,,,,,,,
29,999.1,10,720,975,64.51837913564475,87.36863841285228,0.0,0.0,0.0,0.0,10,341,578,30.55662122952064,51.79392102833704,-0.4835598279686272,-0.4835598279686272,9.58493216984395,9.58493216984395,,,,,,,,,
30,1035.5,10,720,975,64.51837913564475,87.36863841285228,0.0,0.0,0.0,0.0,10,341,579,30.55662122952064,51.88352988824766,0.0,-0.03276696898804151,0.0,-18.723982278880218,,,,,,,,,
31,1066.2,10,720,975,64.51837913564475,87.36863841285228,0.4455915429083527,0.0,8.902927930236814,0.0,10,341,578,30.55662122952064,51.79392102833704,0.4455915429083173,0.0,8.902927930236109,0.0,,,,,,,,,
32,1100.0,10,720,975,64.51837913564475,87.36863841285228,0.0,0.0,0.0,0.0,10,341,578,30.55662122952064,51.79392102833704,0.0,0.0,0.0,0.0,,,,,,,,,
33,1131.6,10,720,975,64.51837913564475,87.36863841285228,0.4458429211340048,0.0,9.278728847742046,0.0,10,341,578,30.55662122952064,51.79392102833704,0.4458429211339695,-0.47315723952503996,9.27872884774131,9.558732111616969,,,,,,,,,
34,1166.6,10,721,975,64.60798799555538,87.36863841285228,-0.006266428961927957,0.0,-17.90408274836991,0.0,10,342,578,30.64623008943126,51.79392102833704,-0.00626642896192747,0.0,-17.904082748368488,0.0,,,,,,,,,
35,1198.5,10,720,975,64.51837913564475,87.36863841285228,0.0,0.0,0.0,0.0,10,341,578,30.55662122952064,51.79392102833704,0.0,0.0,0.0,0.0,,,,,,,,,
36,1230.6,10,721,975,64.60798799555538,87.36863841285228,0.012621474090998019,0.0,-18.030677272853296,0.0,10,342,578,30.64623008943126,51.79392102833704,0.012621474090997035,0.4431260480221191,-18.030677272851868,8.952041374184224,,,,,,,,,
