frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,43,409,,,,,,,,,,,,,,,
1,130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,44,410,,,,,,,,,,,,,,,
2,228.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,110,425,,,,,,,,,,,,,,,
47,1582.1,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.34931628320817837,0.0,-6.986325664163567,,,,,,,,,,14,187,803,12.73317386267896,54.67774658679789,-0.011775801223230945,-0.011775801223231222,13.853883792035987,13.85388379203635,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
48,1614.2,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.33977895603906383,0.0,-6.802381502283569,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,0.3411407941776521,0.33977895603906383,6.815999883669363,-6.802381502283569,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
49,1646.5,15,1089,787,74.15201249442454,53.588277165392206,0.0027291400209754836,0.3394381560448818,13.645700104881811,-6.809190692976564,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.3394381560448464,0.0,-6.809190692975853
50,1682.1,15,1090,787,74.2201043332624,53.588277165392206,0.0,-0.34045919418929316,0.0,-6.809183883785862,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,0.0,0.34045919418929316,-13.61836776757137,-6.809183883785862,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
51,1714.1,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,0.0020407185280458618,-0.3392702201744472,-13.604790186964795,-6.792196600089041,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,-0.3392702201744295,0.0,-6.792196600088688,0.0
52,1746.2,15,1090,787,74.2201043332624,53.588277165392206,0.34587897917082594,0.0,-6.762052378706278,0.0,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,-0.3285210617255672,0.0,-6.590191809941166,0.0
53,1782.1,15,1090,786,74.2201043332624,53.52018532655435,0.0,-0.34045919418929316,0.0,6.809183883785862,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,-0.3404591941892842,-0.34045919418929316,6.809183883785685,-6.809183883785862,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
54,1814.3,15,1090,787,74.2201043332624,53.588277165392206,-0.293856411968802,0.0,-5.865397444487064,0.0,,,,,,,,,,14,187,803,12.73317386267896,54.67774658679789,-0.062226188806643185,-0.35608260077544684,12.322017585473995,6.456620140987252,,,,,,,,,,13,158,742,10.758510536381154,50.52414441768871,-0.0622261888066416,0.0,12.322017585473674,0.0
55,1848.5,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,13,158,742,10.758510536381154,50.52414441768871,0.02149293635694268,0.0,13.433085223088966,0.0
56,1882.1,15,1090,786,74.2201043332624,53.52018532655435,0.0,0.34045919418929316,0.0,6.809183883785862,,,,,,,,,,14,187,803,12.73317386267896,54.67774658679789,0.0,0.0,0.0,13.618367767571725,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,-0.3404591941892754,0.0,-6.809183883785507,0.0
